articleTitle,articleLink,discussionResult,discussionResultDate,totalUser,totalPosts,totalWords,totalChars,keepVote,deleteVote,otherVotesCount,generalNotabilityCount,eventNotabilityCount,orgNotabilityCount,otherNotabilityCount,revClosestDate,revClosestID,revEditSize,revPageTitle
Ural Airlines Flight 178,/wiki/Wikipedia:Articles_for_deletion/Ural_Airlines_Flight_178,keep,2019-10-05 09:41:00,17,13,558,3392,10,0,3,2,1,0,5,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
NFL Black Monday,/wiki/Wikipedia:Articles_for_deletion/NFL_Black_Monday,delete,2019-10-04 16:15:00,6,1,16,111,0,1,0,1,0,0,0,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
Iconic Achievers Awards,/wiki/Wikipedia:Articles_for_deletion/Iconic_Achievers_Awards,delete,2019-10-01 09:27:00,8,6,174,1121,2,2,2,2,0,1,0,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
International Relations Lecture Series,/wiki/Wikipedia:Articles_for_deletion/International_Relations_Lecture_Series,Draftify,2019-09-30 19:15:00,11,8,474,2999,0,0,8,0,0,0,4,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
2019 Belgian F-16 crash,/wiki/Wikipedia:Articles_for_deletion/2019_Belgian_F-16_crash,delete,2019-09-29 03:26:00,11,6,320,2020,1,5,0,1,0,0,4,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
Royal Thomian Tamil Debate Encounter,/wiki/Wikipedia:Articles_for_deletion/Royal_Thomian_Tamil_Debate_Encounter,delete,2019-09-26 06:35:00,6,2,41,255,0,2,0,1,0,0,4,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
Internet Marketing Conference,/wiki/Wikipedia:Articles_for_deletion/Internet_Marketing_Conference,delete,2019-09-25 14:42:00,7,2,29,206,0,1,0,1,0,0,0,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
2019 Super League Grand Final,/wiki/Wikipedia:Articles_for_deletion/2019_Super_League_Grand_Final,keep,2019-09-24 20:25:00,11,5,288,1641,3,0,2,0,0,0,3,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
Pakistan International Airlines Flight 606,/wiki/Wikipedia:Articles_for_deletion/Pakistan_International_Airlines_Flight_606,delete,2019-09-24 13:36:00,16,12,276,1685,1,10,1,0,0,0,6,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
Child Passenger Safety Week,/wiki/Wikipedia:Articles_for_deletion/Child_Passenger_Safety_Week,keep,2019-09-23 07:43:00,5,2,43,267,2,0,0,0,0,0,5,2019-08-17 01:34:02,911174626,22,Wikipedia:Notability_(organizations_and_companies)
Opinion polling for the 2018 Italian general election,/wiki/Wikipedia:Articles_for_deletion/Opinion_polling_for_the_2018_Italian_general_election,keep,2019-09-23 11:36:00,32,31,6246,37620,9,2,14,0,0,0,22,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
Barking fire,/wiki/Wikipedia:Articles_for_deletion/Barking_fire,keep,2019-09-21 23:39:00,9,7,425,2555,3,1,2,0,0,0,3,2019-08-17 01:34:02,911174626,22,Wikipedia:Notability_(organizations_and_companies)
Canadian Labour International Film Festival,/wiki/Wikipedia:Articles_for_deletion/Canadian_Labour_International_Film_Festival,delete,2019-09-14 21:07:00,6,2,45,294,0,1,1,2,0,1,2,2019-08-17 01:34:02,911174626,22,Wikipedia:Notability_(organizations_and_companies)
2019 King Air 350 crash,/wiki/Wikipedia:Articles_for_deletion/2019_King_Air_350_crash,delete,2019-09-10 10:28:00,19,16,1115,6778,2,6,6,3,1,0,9,2019-08-17 01:34:02,911174626,22,Wikipedia:Notability_(organizations_and_companies)
FUSION 2020,/wiki/Wikipedia:Articles_for_deletion/FUSION_2020,delete,2019-09-04 13:40:00,4,1,36,210,0,1,0,1,0,0,1,2019-08-17 01:34:02,911174626,22,Wikipedia:Notability_(organizations_and_companies)
Tropical Depression Six (2019),/wiki/Wikipedia:Articles_for_deletion/Tropical_Depression_Six_(2019),redirect,2019-09-04 13:09:00,6,3,59,380,0,0,3,0,0,0,1,2019-08-17 01:34:02,911174626,22,Wikipedia:Notability_(organizations_and_companies)
Blacksmiths festival,/wiki/Wikipedia:Articles_for_deletion/Blacksmiths_festival,keep,2019-09-03 20:39:00,12,7,203,1264,3,1,3,0,0,0,1,2019-08-17 01:34:02,911174626,22,Wikipedia:Notability_(organizations_and_companies)
2015–19 Irish gangland feud,/wiki/Wikipedia:Articles_for_deletion/2015%E2%80%9319_Irish_gangland_feud,keep,2019-08-30 04:25:00,9,8,393,5396,3,1,0,0,0,0,4,2019-07-20 19:06:28,907135639,4,Wikipedia:Notability_(organizations_and_companies)
